rank,business,city,county,category,address,phone,web_signal,tier,chamber_listed,score,why,verify,status,contacted,notes
1,Fitness Depot (7-location group),Columbia,Marion,gym,805 Hwy 98 Bypass,(601) 345-3344,own,1,,95,existing relationship - spec site already built; has a site - lead with local search/Google profile,confirm phone/address + open their site on a phone before calling,,,
2,Donovan McComb Attorney At Law,Columbia,Marion,law,718 Broad St,(601) 444-0000,none,1,yes,93,"no website of its own found; high-ticket service, one job pays for the site; chamber-listed",confirm phone/address + open their site on a phone before calling,,,
3,Columbia Animal Hospital,Columbia,Marion,veterinary,1409 Hwy 98 E,(601) 736-3041,dated,1,yes,87,"has a site, but on legacy tech - redesign angle; high-ticket service, one job pays for the site; chamber-listed",confirm phone/address + open their site on a phone before calling,,,
4,"Berry Law Firm, PLLC",Columbia,Marion,law,329 Church St,(601) 736-3004,none,1,,85,"no website of its own found; high-ticket service, one job pays for the site",confirm phone/address + open their site on a phone before calling,,,
5,Columbia Family Dental,Columbia,Marion,dental,430 Broad St,(601) 736-7125,none,1,,85,"no website of its own found; high-ticket service, one job pays for the site",confirm phone/address + open their site on a phone before calling,,,
6,"Foxworth, Shepard & Bruhl P.A.",Columbia,Marion,law,702 Main St,(601) 736-1122,none,1,,85,"no website of its own found; high-ticket service, one job pays for the site",confirm phone/address + open their site on a phone before calling,,,
7,Hammond Plumbing,Columbia,Marion,plumbing,907 Park Ave,(601) 736-2999,none,1,,85,"no website of its own found; high-ticket service, one job pays for the site",confirm phone/address + open their site on a phone before calling,,,
8,Pierre's Air Conditioning & Heat,Columbia,Marion,hvac,518 S High School Ave,,none,1,,85,"no website of its own found; high-ticket service, one job pays for the site",confirm phone/address + open their site on a phone before calling,,,
9,Barbara's,Columbia,Marion,salon,,,none,1,yes,81,no website of its own found; chamber-listed,confirm phone/address + open their site on a phone before calling,,,
10,Cuttin' Up,Columbia,Marion,salon,1145 Hwy 98 Ste 3,(601) 736-8686,none,1,yes,81,no website of its own found; chamber-listed,confirm phone/address + open their site on a phone before calling,,,
11,Entrigue Salon and Day Spa,Columbia,Marion,spa,622 Main St,,none,1,yes,81,no website of its own found; chamber-listed,confirm phone/address + open their site on a phone before calling,,,
12,Hair Designers,Columbia,Marion,salon,274 S High School Ave,,none,1,yes,81,no website of its own found; chamber-listed,confirm phone/address + open their site on a phone before calling,,,
13,Southern Collective Upscale Market,Columbia,Marion,retail,615 Main St,,none,1,yes,81,no website of its own found; chamber-listed,confirm phone/address + open their site on a phone before calling,,,
14,Swank Salon,Columbia,Marion,salon,723 Main St,(601) 444-9700,none,1,yes,81,no website of its own found; chamber-listed,confirm phone/address + open their site on a phone before calling,,,
15,Fink Chiropractic Clinic,Columbia,Marion,chiropractic,230 S High School Ave,(601) 736-5031,none,1,,78,no website of its own found,confirm phone/address + open their site on a phone before calling,,,
16,Griffith's Discount Tires,Columbia,Marion,tire,1110 Hwy 13 N,(601) 736-5369,none,1,,78,no website of its own found,confirm phone/address + open their site on a phone before calling,,,
17,Hunt Insurance,Columbia,Marion,insurance,601 Broad St,(601) 736-8991,none,1,,78,no website of its own found,confirm phone/address + open their site on a phone before calling,,,
18,Kimble Clinic - Chiropractic,Columbia,Marion,chiropractic,262 S High School Ave,(601) 736-2331,none,1,,78,no website of its own found,confirm phone/address + open their site on a phone before calling,,,
19,Pope Tire Service,Columbia,Marion,tire,139 S High School Ave,(601) 736-2613,none,1,,78,no website of its own found,confirm phone/address + open their site on a phone before calling,,,
20,"SouthGroup / James Bowman Agency, Inc.",Columbia,Marion,insurance,500 Broad St,(601) 736-4537,none,1,,78,no website of its own found,confirm phone/address + open their site on a phone before calling,,,
21,Berry Patch LLC (florist & gifts),Columbia,Marion,florist,220 Second St,(601) 522-2946,dated,1,yes,75,"has a site, but on legacy tech - redesign angle; chamber-listed",confirm phone/address + open their site on a phone before calling,,,
22,Nails 2000,Columbia,Marion,nails,312 Second St,,none,1,,73,no website of its own found,confirm phone/address + open their site on a phone before calling,,,
23,Nails Spa,Columbia,Marion,nails,1207 US-98,,none,1,,73,no website of its own found,confirm phone/address + open their site on a phone before calling,,,
24,V I P Nails,Columbia,Marion,nails,105 S Highway 98 E,,none,1,,73,no website of its own found,confirm phone/address + open their site on a phone before calling,,,
25,The Flower Shop on Church Street,Columbia,Marion,florist,323 Church St,,fb,1,,71,"Facebook page only, no website",confirm phone/address + open their site on a phone before calling,,,
26,Opulent Aesthetics,Hattiesburg,Forrest,medspa,,(601) 476-1602,fb,3,,71,"Facebook page only, no website; high-ticket service, one job pays for the site",confirm phone/address + open their site on a phone before calling,,,
27,C&C Home Improvements,Columbia,Marion,contractor,,,unknown,1,,67,"web presence not established - check before calling; high-ticket service, one job pays for the site",confirm phone/address + open their site on a phone before calling,,,
28,Elliot Bates Roofing,Columbia,Marion,roofing,,,unknown,1,,67,"web presence not established - check before calling; high-ticket service, one job pays for the site",confirm phone/address + open their site on a phone before calling,,,
29,Gulf States Roofing & Construction,Columbia,Marion,roofing,,,unknown,1,,67,"web presence not established - check before calling; high-ticket service, one job pays for the site",confirm phone/address + open their site on a phone before calling,,,
30,Hooker Roofing,Columbia,Marion,roofing,,,unknown,1,,67,"web presence not established - check before calling; high-ticket service, one job pays for the site",confirm phone/address + open their site on a phone before calling,,,
31,Animal Health Center of Brookhaven,Brookhaven,Lincoln,veterinary,1697 Highway 84 E,(601) 833-7788,dated,3,,67,"has a site, but on legacy tech - redesign angle; high-ticket service, one job pays for the site",confirm phone/address + open their site on a phone before calling,,,
32,Marion Pet Care,Columbia,Marion,veterinary,2132 Hwy 13 N,(601) 731-1232,own,1,yes,65,"has a site - lead with local search/Google profile; high-ticket service, one job pays for the site; chamber-listed",confirm phone/address + open their site on a phone before calling,,,
33,Blackwell's AC & Heat,Tylertown,Walthall,hvac,,,unknown,2,,61,"web presence not established - check before calling; high-ticket service, one job pays for the site",confirm phone/address + open their site on a phone before calling,,,
34,Jefferson AC & Electrical,Tylertown,Walthall,hvac,,,unknown,2,,61,"web presence not established - check before calling; high-ticket service, one job pays for the site",confirm phone/address + open their site on a phone before calling,,,
35,"Johnson's Funeral Home, Inc.",Prentiss,Jefferson Davis,funeral,1112 Fred St,,unknown,2,,61,"web presence not established - check before calling; high-ticket service, one job pays for the site",confirm phone/address + open their site on a phone before calling,,,
36,Laird Mortuary,Prentiss,Jefferson Davis,funeral,919 2nd St,,unknown,2,,61,"web presence not established - check before calling; high-ticket service, one job pays for the site",confirm phone/address + open their site on a phone before calling,,,
37,Longleaf Heating & Air,Prentiss,Jefferson Davis,hvac,,,unknown,2,,61,"web presence not established - check before calling; high-ticket service, one job pays for the site",confirm phone/address + open their site on a phone before calling,,,
38,Salem Opry House,Collins area,Covington,venue,,,unknown,2,,61,"web presence not established - check before calling; high-ticket service, one job pays for the site",confirm phone/address + open their site on a phone before calling,,,
39,Community Rehab Physical Therapy,Columbia,Marion,physicaltherapy,,,unknown,1,,60,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
